CustomerID,Cluster
C0001,2
C0002,0
C0003,2
C0004,2
C0005,0
C0006,2
C0007,0
C0008,0
C0009,1
C0010,1
C0011,2
C0012,2
C0013,2
C0014,1
C0015,0
C0016,0
C0017,1
C0018,0
C0019,1
C0020,0
C0021,0
C0022,0
C0023,1
C0024,0
C0025,2
C0026,0
C0027,0
C0028,0
C0029,0
C0030,0
C0031,2
C0032,2
C0033,0
C0034,0
C0035,0
C0036,0
C0037,1
C0038,0
C0039,2
C0040,0
C0041,1
C0042,0
C0043,0
C0044,1
C0045,0
C0046,0
C0047,0
C0048,2
C0049,0
C0050,0
C0051,1
C0052,2
C0053,1
C0054,0
C0055,0
C0056,0
C0057,1
C0058,0
C0059,0
C0060,1
C0061,1
C0062,1
C0063,1
C0064,1
C0065,0
C0066,1
C0067,0
C0068,0
C0069,1
C0070,1
C0071,2
C0072,0
C0073,1
C0074,1
C0075,1
C0076,2
C0077,2
C0078,0
C0079,0
C0080,0
C0081,1
C0082,2
C0083,2
C0084,0
C0085,2
C0086,1
C0087,2
C0088,0
C0089,1
C0090,0
C0091,2
C0092,0
C0093,0
C0094,0
C0095,2
C0096,2
C0097,0
C0098,0
C0099,2
C0100,1
C0101,0
C0102,2
C0103,1
C0104,2
C0105,1
C0106,0
C0107,2
C0108,2
C0109,0
C0110,0
C0111,1
C0112,2
C0113,2
C0114,1
C0115,0
C0116,0
C0117,0
C0118,2
C0119,1
C0120,2
C0121,1
C0122,0
C0123,0
C0124,1
C0125,0
C0126,2
C0127,1
C0128,0
C0129,2
C0130,2
C0131,0
C0132,1
C0133,2
C0134,0
C0135,1
C0136,0
C0137,2
C0138,0
C0139,0
C0140,0
C0141,1
C0142,0
C0143,0
C0144,0
C0145,0
C0146,0
C0147,2
C0148,2
C0149,1
C0150,2
C0151,2
C0152,2
C0153,2
C0154,0
C0155,2
C0156,0
C0157,0
C0158,2
C0159,0
C0160,0
C0161,0
C0162,0
C0163,2
C0164,1
C0165,2
C0166,1
C0167,1
C0168,2
C0169,2
C0170,1
C0171,2
C0172,1
C0173,0
C0174,2
C0175,0
C0176,0
C0177,0
C0178,0
C0179,1
C0181,2
C0182,1
C0183,0
C0184,2
C0185,0
C0186,0
C0187,2
C0188,2
C0189,0
C0190,2
C0191,2
C0192,2
C0193,0
C0194,0
C0195,2
C0196,1
C0197,1
C0198,1
C0199,1
C0200,0
